"type_maison","commodites","localite","loyer","telephone","date_publication"
"villa","2 chambres, carrelee, cuisine, douche, plafonnee, ventilee, vitree","tampouy","300000","70 36 73 03","2023-12-09"
"chambre salon","ventilé, Carrellé","rimkiéta","100000","","2023-12-09"
"villa","03 chambres, carrele, cuisine, douche, garage, plafonne, ventile, vitre","kamsonghin","15000","69 85 85 59","2023-12-09"
"chambre salon","cour commune, cuisine, douche, plafonne","kamboincé","50000","62 88 38 82","2023-12-09"
"chambre salon","cour unique, cuisine, douche, garage, placard","sakoula","35000","74 05 32 53","2023-12-09"
"chambre salon","carrele, douche, ventile, vitre","bonheur-ville","35000","66 92 73 75","2023-12-09"
"chambre salon","cour commune, cuisine, douche, plafonne, ventile, vitre","rayongo","35000","64 64 52 20","2023-12-09"
"chambre salon","carrele, chauffe eau, cour commune, cuisine, douche, ventile, vitre","pissy","20000","74 05 32 53","2023-12-09"
"chambre salon","carrele, chauffe eau, cour commune, cuisine, douche, ventile, vitre","pissy","20000","74 05 32 53","2023-12-09"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","70000","69 01 07 75","2023-12-09"
"chambre salon","cuisine, douche","bonheur-ville","35000","74 05 32 53","2023-12-09"
"chambre salon","cour unique, garage, plafonne, ventile, vitre","sambin barrage","500000","79 03 04 58","2023-12-09"
"chambre salon","cour unique, douche","tanghin","40000","71 32 43 99","2023-12-09"
"mini villa","cuisine, douche, garage, placards","cité azimo","100000","64 64 52 20","2023-12-09"
"chambre salon","carrele, cuisine, douche, ventile, vitre","bonheur-ville","40000","66 92 73 75","2023-12-09"
"maison","3 chambres, carrele, cuisine, douche, garage, plafonne, ventile, vitre","pissy","150000","74 05 32 53","2023-12-08"
"mini villa","2 chambres, cuisine, douche","garghin","75000","74 05 32 53","2023-12-08"
"mini villa","cuisine, douche","tanghin","80000","71 32 43 99","2023-12-08"
"chambre salon","cour commune, cuisine, douche, plafonne, ventile","rayongo","35000","64 64 52 20","2023-12-08"
"chambre salon","carrelee, cour unique, cuisine, douche, garage, ventilee, vitree","rimkiéta","100000","76 95 75 40","2023-12-08"
"villa","3 chambres, climatisee, cuisine, garage, jardin","cité azimo","500000","70 36 73 03","2023-12-08"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","50000","69 01 07 75","2023-12-08"
"mini villa","douche interne","sakoula","150000","70 50 08 24","2023-12-08"
"chambre salon","cuisine, douche, garage, plafonne, ventile","tanghin","80000","79 31 67 00","2023-12-08"
